Card Name,Rarity,Card Color,Card Cost,Card Type,Card Sub-Type,Card Text,Attack,Defense,Other,Notes,
Bilateral Treaty,Legend,Chiffon,3,Tactic,,Both Players heal 10 life.,,,3 Card Limit,,
Proselytism,Epic,Chiffon,8,Tactic,,Gain control of a Character.,,,3 Card Limit,,
Crusade,Epic,Chiffon,5,Tactic,,All Units gain Elude until the end of the turn.,,,3 Card Limit,,
Instill Doubt,Epic,Chiffon,4,Tactic,,"Return a Unit to it's Owner's Deck. Shuffle the deck. 
 
 They will search the Godhead and find their own diffidence.",,,3 Card Limit,,
Summoning Sacrifice,Epic,Chiffon,4,Tactic,,"Send a Unit that you Own to the Discard Pile. 
 
 Add a Unit from your deck to your hand. 
 
 Our sacrifice for his blessing. - Lao to the Patriarchs",,,3 Card Limit,,
Staidness,Epic,Chiffon,1,Tactic,,"Pin all Units.
 
 Good things come to those who wait.",,,3 Card Limit,,
Temperance,Epic,Chiffon,3,Tactic,,Target Unit becomes permanently pinned. That Unit becomes Untouchable.,,,3 Card Limit,,
Surrender,Rare,Chiffon,6,Tactic,,"Both players sacrifice a ship, a defense, a character, discard a card at random, and lose 2 life.",,,3 Card Limit,,
Convert,Rare,Chiffon,5,Tactic,,Gain control of a Character that costs 4 or less. That Character becomes an Untouchables.,,,3 Card Limit,,
Expatriate,Rare,Chiffon,5,Tactic,,"Gain control of a Character that costs 4 or less. If you have two defenses, destroy that Character, otherwise that Character becomes a Scapgoats. 
 
 ""All are welcome to the Faith"" - The Patriarchs",,,3 Card Limit,,
Faith Healing,Rare,Chiffon,5,Tactic,,Your units gain Reconstruct,,,3 Card Limit,,
Call to Prayer,Rare,Chiffon,3,Tactic,,Pin all units in a lane. ,,,3 Card Limit,,
Evocation of Faith,Rare,Chiffon,3,Tactic,,Search your deck or discard pile for up to 3 Untouchables and put them into your hand.,,,3 Card Limit,,
Blood Letting,Rare,Chiffon,2,Tactic,,"Send a Unit that you Own to the Discard Pile. 
 
 Deal 2 damage to the opponent.",,,3 Card Limit,,
Eternal Sentence,Common,Chiffon,5,Tactic,,Remove a unit from the game.,,,3 Card Limit,,
Bring to knees,Common,Chiffon,4,Tactic,,Give a unit -5/-5,,,3 Card Limit,,
His Gift,Common,Chiffon,3,Tactic,,All units in the chosen lane get -2/-2,,,3 Card Limit,,
Even Terms,Common,Chiffon,2,Tactic,,Both players sacrifice a unit.,,,3 Card Limit,,
Waiting for a Sign,Common,Chiffon,1,Tactic,,Draw 3 cards. Discard 3 Cards.,,,3 Card Limit,,
Magistrate's Hammer,Legend,Chiffon,4,Item,,"Pin all enemy Units that end combat against the equipped Unit.
 
 To Judgement we all succumb.",0,4,1 Card Limit,,
Holy Scripture,Epic,Chiffon,3,Item,,"When the equipped Unit is Healed, draw 1 card.
 
 Faith's reward.",0,0,3 Card Limit,,
His Blessing,Epic,Chiffon,3,Item,,Equpped Unit gains Untouchable and Elude. Draw 1 card.,0,0,3 Card Limit,,
Collar of Prognostication,Rare,Chiffon,4,Item,,"2 Activate: Draw 1 card. 
 
 This card may be equipped to enemy units.",-3,-3,3 Card Limit,,
Blessed Oil,Rare,Chiffon,2,Item,,Reconstruct,1,0,3 Card Limit,,
Knowledge to Power,Common,Chiffon,6,Item,,Equipped unit gains attack equal to the number of cards in your hand.,0,0,3 Card Limit,,
Faiths Barrier,Common,Chiffon,4,Item,,"If the equipped creature would be dealt damage, then reduce that damage by 3.",0,0,3 Card Limit,,
His Teachings,Common,Chiffon,1,Item,,Entrance: An enemy unit gets -2/-2. Draw 1 card,-2,-2,3 Card Limit,,
